"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Antal tests pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2026-07-07T11:15:03.729"
INFLA;2015/2016;2015-U40;9999;Alle;00-01;Alle;114304;44;0;0;0;0,00;0,00;38,49;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;00-01;K;55567;20;0;0;0;0,00;0,00;35,99;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;00-01;M;58737;22;0;0;0;0,00;0,00;37,46;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;02-06;Alle;314026;15;0;0;0;0,00;0,00;4,78;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;02-06;K;152952;4;0;0;0;0,00;0,00;2,62;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;02-06;M;161074;10;0;0;0;0,00;0,00;6,21;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;07-14;Alle;536296;12;0;0;0;0,00;0,00;2,24;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;07-14;K;261638;5;0;0;0;0,00;0,00;1,91;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;07-14;M;274658;7;0;0;0;0,00;0,00;2,55;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;15-44;Alle;2156335;67;0;0;0;0,00;0,00;3,11;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;15-44;K;1064296;32;0;0;0;0,00;0,00;3,01;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;15-44;M;1092039;32;0;0;0;0,00;0,00;2,93;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;45-64;Alle;1508386;48;1;0;0;0,02;0,07;3,18;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;45-64;K;753329;26;1;0;0;0,04;0,13;3,45;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;45-64;M;755057;21;0;0;0;0,00;0,00;2,78;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;65-74;Alle;636269;31;0;0;0;0,00;0,00;4,87;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;65-74;K;327393;16;0;0;0;0,00;0,00;4,89;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;65-74;M;308876;15;0;0;0;0,00;0,00;4,86;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;75-84;Alle;317189;19;0;0;0;0,00;0,00;5,99;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;75-84;K;176065;9;0;0;0;0,00;0,00;5,11;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;75-84;M;141124;10;0;0;0;0,00;0,00;7,09;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;85+;Alle;118750;3;0;0;0;0,00;0,00;2,53;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;85+;K;79429;3;0;0;0;0,00;0,00;3,78;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;85+;M;39321;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;Alle;Alle;5701555;239;1;0;0;0,00;0,02;4,19;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;Alle;K;2870669;115;1;0;0;0,01;0,03;4,01;0,00;
INFLA;2015/2016;2015-U40;9999;Alle;Alle;M;2830886;117;0;0;0;0,00;0,00;4,13;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;00-01;Alle;40567;20;0;0;0;0,00;0,00;49,30;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;00-01;K;19671;9;0;0;0;0,00;0,00;45,75;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;00-01;M;20896;11;0;0;0;0,00;0,00;52,64;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;02-06;Alle;103347;9;0;0;0;0,00;0,00;8,71;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;02-06;K;50400;3;0;0;0;0,00;0,00;5,95;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;02-06;M;52947;6;0;0;0;0,00;0,00;11,33;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;07-14;Alle;159228;6;0;0;0;0,00;0,00;3,77;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;07-14;K;77381;3;0;0;0;0,00;0,00;3,88;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;07-14;M;81847;3;0;0;0;0,00;0,00;3,67;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;15-44;Alle;740720;27;0;0;0;0,00;0,00;3,65;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;15-44;K;373438;12;0;0;0;0,00;0,00;3,21;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;15-44;M;367282;15;0;0;0;0,00;0,00;4,08;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;45-64;Alle;438442;20;0;0;0;0,00;0,00;4,56;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;45-64;K;220302;13;0;0;0;0,00;0,00;5,90;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;45-64;M;218140;7;0;0;0;0,00;0,00;3,21;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;65-74;Alle;176386;10;0;0;0;0,00;0,00;5,67;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;65-74;K;93390;4;0;0;0;0,00;0,00;4,28;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;65-74;M;82996;6;0;0;0;0,00;0,00;7,23;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;75-84;Alle;87080;9;0;0;0;0,00;0,00;10,34;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;75-84;K;50155;2;0;0;0;0,00;0,00;3,99;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;75-84;M;36925;7;0;0;0;0,00;0,00;18,96;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;85+;Alle;34445;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;85+;K;23924;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;85+;M;10521;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;Alle;Alle;1780215;101;0;0;0;0,00;0,00;5,67;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;Alle;K;908661;46;0;0;0;0,00;0,00;5,06;0,00;
INFLA;2015/2016;2015-U40;1084;Hovedstaden;Alle;M;871554;55;0;0;0;0,00;0,00;6,31;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;00-01;Alle;26353;13;0;0;0;0,00;0,00;49,33;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;00-01;K;12863;6;0;0;0;0,00;0,00;46,65;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;00-01;M;13490;7;0;0;0;0,00;0,00;51,89;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;02-06;Alle;73319;4;0;0;0;0,00;0,00;5,46;0,00;
INFLA;2015/2016;2015-U40;1082;Midtjylland;02-06;K;35730;0;0;0;0;0,00;0,00;0,00;0,00;
