"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-06-24T11:25:02.299"
RSV;2015/2016;2015-U40;9999;Alle;01. 0-5 måneder;Alle;31010;27;1;1;0;0,04;3,22;87,07;3,22;
RSV;2015/2016;2015-U40;9999;Alle;01. 0-5 måneder;K;15052;9;1;1;0;0,11;6,64;59,79;6,64;
RSV;2015/2016;2015-U40;9999;Alle;01. 0-5 måneder;M;15958;7;0;0;0;0,00;0,00;43,87;0,00;
RSV;2015/2016;2015-U40;9999;Alle;02. 6-11 måneder;Alle;28872;9;0;0;0;0,00;0,00;31,17;0,00;
RSV;2015/2016;2015-U40;9999;Alle;02. 6-11 måneder;K;14070;3;0;0;0;0,00;0,00;21,32;0,00;
RSV;2015/2016;2015-U40;9999;Alle;02. 6-11 måneder;M;14802;2;0;0;0;0,00;0,00;13,51;0,00;
RSV;2015/2016;2015-U40;9999;Alle;03. 1 år;Alle;59220;11;1;1;0;0,09;1,69;18,57;1,69;
RSV;2015/2016;2015-U40;9999;Alle;03. 1 år;K;28793;1;1;1;0;1,00;3,47;3,47;3,47;
RSV;2015/2016;2015-U40;9999;Alle;03. 1 år;M;30427;4;0;0;0;0,00;0,00;13,15;0,00;
RSV;2015/2016;2015-U40;9999;Alle;04. 2 år;Alle;60053;8;0;0;0;0,00;0,00;13,32;0,00;
RSV;2015/2016;2015-U40;9999;Alle;04. 2 år;K;29264;3;0;0;0;0,00;0,00;10,25;0,00;
RSV;2015/2016;2015-U40;9999;Alle;04. 2 år;M;30789;4;0;0;0;0,00;0,00;12,99;0,00;
RSV;2015/2016;2015-U40;9999;Alle;05. 3-5 år;Alle;192814;6;0;0;0;0,00;0,00;3,11;0,00;
RSV;2015/2016;2015-U40;9999;Alle;05. 3-5 år;K;94022;1;0;0;0;0,00;0,00;1,06;0,00;
RSV;2015/2016;2015-U40;9999;Alle;05. 3-5 år;M;98792;4;0;0;0;0,00;0,00;4,05;0,00;
RSV;2015/2016;2015-U40;9999;Alle;06. 6-14 år;Alle;624607;11;0;0;0;0,00;0,00;1,76;0,00;
RSV;2015/2016;2015-U40;9999;Alle;06. 6-14 år;K;305217;2;0;0;0;0,00;0,00;0,66;0,00;
RSV;2015/2016;2015-U40;9999;Alle;06. 6-14 år;M;319390;6;0;0;0;0,00;0,00;1,88;0,00;
RSV;2015/2016;2015-U40;9999;Alle;07. 15-44 år;Alle;2246373;33;0;0;0;0,00;0,00;1,47;0,00;
RSV;2015/2016;2015-U40;9999;Alle;07. 15-44 år;K;1113270;10;0;0;0;0,00;0,00;0,90;0,00;
RSV;2015/2016;2015-U40;9999;Alle;07. 15-44 år;M;1133103;13;0;0;0;0,00;0,00;1,15;0,00;
RSV;2015/2016;2015-U40;9999;Alle;08. 45-64 år;Alle;1452096;27;1;1;0;0,04;0,07;1,86;0,07;
RSV;2015/2016;2015-U40;9999;Alle;08. 45-64 år;K;732572;11;0;0;0;0,00;0,00;1,50;0,00;
RSV;2015/2016;2015-U40;9999;Alle;08. 45-64 år;M;719524;14;1;1;0;0,07;0,14;1,95;0,14;
RSV;2015/2016;2015-U40;9999;Alle;09. 65-74 år;Alle;545808;16;0;0;0;0,00;0,00;2,93;0,00;
RSV;2015/2016;2015-U40;9999;Alle;09. 65-74 år;K;289480;9;0;0;0;0,00;0,00;3,11;0,00;
RSV;2015/2016;2015-U40;9999;Alle;09. 65-74 år;M;256328;7;0;0;0;0,00;0,00;2,73;0,00;
RSV;2015/2016;2015-U40;9999;Alle;10. 75-84 år;Alle;202439;8;0;0;0;0,00;0,00;3,95;0,00;
RSV;2015/2016;2015-U40;9999;Alle;10. 75-84 år;K;119088;1;0;0;0;0,00;0,00;0,84;0,00;
RSV;2015/2016;2015-U40;9999;Alle;10. 75-84 år;M;83351;7;0;0;0;0,00;0,00;8,40;0,00;
RSV;2015/2016;2015-U40;9999;Alle;11. 85+ år;Alle;29048;2;0;0;0;0,00;0,00;6,89;0,00;
RSV;2015/2016;2015-U40;9999;Alle;11. 85+ år;K;21089;2;0;0;0;0,00;0,00;9,48;0,00;
RSV;2015/2016;2015-U40;9999;Alle;11. 85+ år;M;7959;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;9999;Alle;Alle;Alle;5472340;158;3;3;0;0,02;0,05;2,89;0,05;
RSV;2015/2016;2015-U40;9999;Alle;Alle;K;2761917;52;2;2;0;0,04;0,07;1,88;0,07;
RSV;2015/2016;2015-U40;9999;Alle;Alle;M;2710423;68;1;1;0;0,01;0,04;2,51;0,04;
RSV;2015/2016;2015-U40;1084;Hovedstaden;01. 0-5 måneder;Alle;10012;7;0;0;0;0,00;0,00;69,92;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;01. 0-5 måneder;K;4814;4;0;0;0;0,00;0,00;83,09;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;01. 0-5 måneder;M;5198;3;0;0;0;0,00;0,00;57,71;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;02. 6-11 måneder;Alle;9222;1;0;0;0;0,00;0,00;10,84;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;02. 6-11 måneder;K;4479;1;0;0;0;0,00;0,00;22,33;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;02. 6-11 måneder;M;4743;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;03. 1 år;Alle;19093;3;1;1;0;0,33;5,24;15,71;5,24;
RSV;2015/2016;2015-U40;1084;Hovedstaden;03. 1 år;K;9308;1;1;1;0;1,00;10,74;10,74;10,74;
RSV;2015/2016;2015-U40;1084;Hovedstaden;03. 1 år;M;9785;2;0;0;0;0,00;0,00;20,44;0,00;
