"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-07-08T11:25:03.061"
RSV;Alle;Alle;01. 0-5 måneder;Alle;28923;34;0;0;0;0,00;0,00;117,55;0,00;
RSV;Alle;Alle;01. 0-5 måneder;K;14103;17;0;0;0;0,00;0,00;120,54;0,00;
RSV;Alle;Alle;01. 0-5 måneder;M;14820;16;0;0;0;0,00;0,00;107,96;0,00;
RSV;Alle;Alle;02. 6-11 måneder;Alle;29110;19;0;0;0;0,00;0,00;65,27;0,00;
RSV;Alle;Alle;02. 6-11 måneder;K;14058;6;0;0;0;0,00;0,00;42,68;0,00;
RSV;Alle;Alle;02. 6-11 måneder;M;15052;13;0;0;0;0,00;0,00;86,37;0,00;
RSV;Alle;Alle;03. 1 år;Alle;57778;22;0;0;0;0,00;0,00;38,08;0,00;
RSV;Alle;Alle;03. 1 år;K;27972;8;0;0;0;0,00;0,00;28,60;0,00;
RSV;Alle;Alle;03. 1 år;M;29806;14;0;0;0;0,00;0,00;46,97;0,00;
RSV;Alle;Alle;04. 2 år;Alle;58957;20;0;0;0;0,00;0,00;33,92;0,00;
RSV;Alle;Alle;04. 2 år;K;28687;9;0;0;0;0,00;0,00;31,37;0,00;
RSV;Alle;Alle;04. 2 år;M;30270;11;0;0;0;0,00;0,00;36,34;0,00;
RSV;Alle;Alle;05. 3-5 år;Alle;189426;14;0;0;0;0,00;0,00;7,39;0,00;
RSV;Alle;Alle;05. 3-5 år;K;92179;6;0;0;0;0,00;0,00;6,51;0,00;
RSV;Alle;Alle;05. 3-5 år;M;97247;8;0;0;0;0,00;0,00;8,23;0,00;
RSV;Alle;Alle;06. 6-14 år;Alle;563123;23;0;0;0;0,00;0,00;4,08;0,00;
RSV;Alle;Alle;06. 6-14 år;K;274071;8;0;0;0;0,00;0,00;2,92;0,00;
RSV;Alle;Alle;06. 6-14 år;M;289052;15;0;0;0;0,00;0,00;5,19;0,00;
RSV;Alle;Alle;07. 15-44 år;Alle;2254609;209;0;0;0;0,00;0,00;9,27;0,00;
RSV;Alle;Alle;07. 15-44 år;K;1108642;119;0;0;0;0,00;0,00;10,73;0,00;
RSV;Alle;Alle;07. 15-44 år;M;1145967;88;0;0;0;0,00;0,00;7,68;0,00;
RSV;Alle;Alle;08. 45-64 år;Alle;1547011;247;0;0;0;0,00;0,00;15,97;0,00;
RSV;Alle;Alle;08. 45-64 år;K;776692;124;0;0;0;0,00;0,00;15,97;0,00;
RSV;Alle;Alle;08. 45-64 år;M;770319;120;0;0;0;0,00;0,00;15,58;0,00;
RSV;Alle;Alle;09. 65-74 år;Alle;626045;158;0;0;0;0,00;0,00;25,24;0,00;
RSV;Alle;Alle;09. 65-74 år;K;322875;74;0;0;0;0,00;0,00;22,92;0,00;
RSV;Alle;Alle;09. 65-74 år;M;303170;83;0;0;0;0,00;0,00;27,38;0,00;
RSV;Alle;Alle;10. 75-84 år;Alle;484195;215;0;0;0;0,00;0,00;44,40;0,00;
RSV;Alle;Alle;10. 75-84 år;K;262006;98;0;0;0;0,00;0,00;37,40;0,00;
RSV;Alle;Alle;10. 75-84 år;M;222189;117;0;0;0;0,00;0,00;52,66;0,00;
RSV;Alle;Alle;11. 85+ år;Alle;150275;105;0;0;0;0,00;0,00;69,87;0,00;
RSV;Alle;Alle;11. 85+ år;K;93376;62;0;0;0;0,00;0,00;66,40;0,00;
RSV;Alle;Alle;11. 85+ år;M;56899;43;0;0;0;0,00;0,00;75,57;0,00;
RSV;Alle;Alle;Alle;Alle;5989452;1066;0;0;0;0,00;0,00;17,80;0,00;
RSV;Alle;Alle;Alle;K;3014661;531;0;0;0;0,00;0,00;17,61;0,00;
RSV;Alle;Alle;Alle;M;2974791;528;0;0;0;0,00;0,00;17,75;0,00;
RSV;1084;Hovedstaden;01. 0-5 måneder;Alle;10633;20;0;0;0;0,00;0,00;188,09;0,00;
RSV;1084;Hovedstaden;01. 0-5 måneder;K;5194;12;0;0;0;0,00;0,00;231,04;0,00;
RSV;1084;Hovedstaden;01. 0-5 måneder;M;5439;8;0;0;0;0,00;0,00;147,09;0,00;
RSV;1084;Hovedstaden;02. 6-11 måneder;Alle;10451;14;0;0;0;0,00;0,00;133,96;0,00;
RSV;1084;Hovedstaden;02. 6-11 måneder;K;5054;3;0;0;0;0,00;0,00;59,36;0,00;
RSV;1084;Hovedstaden;02. 6-11 måneder;M;5397;11;0;0;0;0,00;0,00;203,82;0,00;
RSV;1084;Hovedstaden;03. 1 år;Alle;20197;14;0;0;0;0,00;0,00;69,32;0,00;
RSV;1084;Hovedstaden;03. 1 år;K;9766;3;0;0;0;0,00;0,00;30,72;0,00;
RSV;1084;Hovedstaden;03. 1 år;M;10431;11;0;0;0;0,00;0,00;105,45;0,00;
RSV;1084;Hovedstaden;04. 2 år;Alle;19933;14;0;0;0;0,00;0,00;70,24;0,00;
RSV;1084;Hovedstaden;04. 2 år;K;9759;8;0;0;0;0,00;0,00;81,98;0,00;
RSV;1084;Hovedstaden;04. 2 år;M;10174;6;0;0;0;0,00;0,00;58,97;0,00;
RSV;1084;Hovedstaden;05. 3-5 år;Alle;62724;11;0;0;0;0,00;0,00;17,54;0,00;
RSV;1084;Hovedstaden;05. 3-5 år;K;30463;4;0;0;0;0,00;0,00;13,13;0,00;
RSV;1084;Hovedstaden;05. 3-5 år;M;32261;7;0;0;0;0,00;0,00;21,70;0,00;
RSV;1084;Hovedstaden;06. 6-14 år;Alle;178964;12;0;0;0;0,00;0,00;6,71;0,00;
RSV;1084;Hovedstaden;06. 6-14 år;K;87278;5;0;0;0;0,00;0,00;5,73;0,00;
RSV;1084;Hovedstaden;06. 6-14 år;M;91686;7;0;0;0;0,00;0,00;7,63;0,00;
