"Regionskode";"Region";"Alders gruppe";"Indlæggelser";"timestamp_2025-09-02T10:00:36.853"
;;;0;
;;0-9;7;
1084;Hovedstaden;0-9;1160;
1082;Midtjylland;0-9;542;
1081;Nordjylland;0-9;359;
1085;Sjælland;0-9;427;
1083;Syddanmark;0-9;446;
;;10-19;5;
1084;Hovedstaden;10-19;473;
1082;Midtjylland;10-19;224;
1081;Nordjylland;10-19;133;
1085;Sjælland;10-19;197;
1083;Syddanmark;10-19;236;
;;20-29;25;
1084;Hovedstaden;20-29;1340;
1082;Midtjylland;20-29;701;
1081;Nordjylland;20-29;334;
1085;Sjælland;20-29;527;
1083;Syddanmark;20-29;680;
;;30-39;43;
1084;Hovedstaden;30-39;1802;
1082;Midtjylland;30-39;863;
1081;Nordjylland;30-39;391;
1085;Sjælland;30-39;685;
1083;Syddanmark;30-39;774;
;;40-49;50;
1084;Hovedstaden;40-49;1725;
1082;Midtjylland;40-49;878;
1081;Nordjylland;40-49;385;
1085;Sjælland;40-49;797;
1083;Syddanmark;40-49;838;
;;50-59;61;
1084;Hovedstaden;50-59;2666;
1082;Midtjylland;50-59;1350;
1081;Nordjylland;50-59;669;
1085;Sjælland;50-59;1293;
1083;Syddanmark;50-59;1473;
;;60-69;46;
1084;Hovedstaden;60-69;3654;
1082;Midtjylland;60-69;1874;
1081;Nordjylland;60-69;1173;
1085;Sjælland;60-69;1928;
1083;Syddanmark;60-69;2184;
;;70-79;22;
1084;Hovedstaden;70-79;6665;
1082;Midtjylland;70-79;3158;
1081;Nordjylland;70-79;2026;
1085;Sjælland;70-79;3537;
1083;Syddanmark;70-79;3831;
;;80-89;14;
1084;Hovedstaden;80-89;6524;
1082;Midtjylland;80-89;2779;
1081;Nordjylland;80-89;1924;
1085;Sjælland;80-89;3173;
1083;Syddanmark;80-89;3787;
;;90+;1;
1084;Hovedstaden;90+;1966;
1082;Midtjylland;90+;736;
1081;Nordjylland;90+;450;
1085;Sjælland;90+;854;
1083;Syddanmark;90+;1010;
