"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-09-02T11:25:03.875"
INFLA;Alle;Alle;00-01;Alle;115873;133;1;0;0;0,01;0,86;114,78;0,00;
INFLA;Alle;Alle;00-01;K;56140;48;0;0;0;0,00;0,00;85,50;0,00;
INFLA;Alle;Alle;00-01;M;59733;83;1;0;0;0,01;1,67;138,95;0,00;
INFLA;Alle;Alle;02-06;Alle;310861;53;3;1;0;0,06;0,97;17,05;0,32;
INFLA;Alle;Alle;02-06;K;151106;22;0;0;0;0,00;0,00;14,56;0,00;
INFLA;Alle;Alle;02-06;M;159755;28;3;1;0;0,11;1,88;17,53;0,63;
INFLA;Alle;Alle;07-14;Alle;500543;68;4;1;0;0,06;0,80;13,59;0,20;
INFLA;Alle;Alle;07-14;K;243782;31;0;0;0;0,00;0,00;12,72;0,00;
INFLA;Alle;Alle;07-14;M;256761;36;4;1;0;0,11;1,56;14,02;0,39;
INFLA;Alle;Alle;15-44;Alle;2253878;434;13;2;0;0,03;0,58;19,26;0,09;
INFLA;Alle;Alle;15-44;K;1108182;250;8;1;0;0,03;0,72;22,56;0,09;
INFLA;Alle;Alle;15-44;M;1145696;180;5;1;0;0,03;0,44;15,71;0,09;
INFLA;Alle;Alle;45-64;Alle;1546953;431;10;1;0;0,02;0,65;27,86;0,06;
INFLA;Alle;Alle;45-64;K;776640;235;5;1;0;0,02;0,64;30,26;0,13;
INFLA;Alle;Alle;45-64;M;770313;186;5;0;0;0,03;0,65;24,15;0,00;
INFLA;Alle;Alle;65-74;Alle;626281;333;9;4;0;0,03;1,44;53,17;0,64;
INFLA;Alle;Alle;65-74;K;322982;155;6;2;0;0,04;1,86;47,99;0,62;
INFLA;Alle;Alle;65-74;M;303299;176;3;2;0;0,02;0,99;58,03;0,66;
INFLA;Alle;Alle;75-84;Alle;484384;456;11;7;2;0,02;2,27;94,14;1,45;
INFLA;Alle;Alle;75-84;K;262090;207;6;3;1;0,03;2,29;78,98;1,14;
INFLA;Alle;Alle;75-84;M;222294;242;5;4;1;0,02;2,25;108,86;1,80;
INFLA;Alle;Alle;85+;Alle;150437;208;5;0;0;0,02;3,32;138,26;0,00;
INFLA;Alle;Alle;85+;K;93490;95;1;0;0;0,01;1,07;101,62;0,00;
INFLA;Alle;Alle;85+;M;56947;112;4;0;0;0,04;7,02;196,67;0,00;
INFLA;Alle;Alle;Alle;Alle;5989210;2116;56;16;2;0,03;0,94;35,33;0,27;
INFLA;Alle;Alle;Alle;K;3014412;1043;26;7;1;0,02;0,86;34,60;0,23;
INFLA;Alle;Alle;Alle;M;2974798;1043;30;9;1;0,03;1,01;35,06;0,30;
INFLA;1084;Hovedstaden;00-01;Alle;41318;98;0;0;0;0,00;0,00;237,18;0,00;
INFLA;1084;Hovedstaden;00-01;K;20014;36;0;0;0;0,00;0,00;179,87;0,00;
INFLA;1084;Hovedstaden;00-01;M;21304;62;0;0;0;0,00;0,00;291,03;0,00;
INFLA;1084;Hovedstaden;02-06;Alle;102908;32;3;1;0;0,09;2,92;31,10;0,97;
INFLA;1084;Hovedstaden;02-06;K;50086;14;0;0;0;0,00;0,00;27,95;0,00;
INFLA;1084;Hovedstaden;02-06;M;52822;18;3;1;0;0,17;5,68;34,08;1,89;
INFLA;1084;Hovedstaden;07-14;Alle;158629;47;4;1;0;0,09;2,52;29,63;0,63;
INFLA;1084;Hovedstaden;07-14;K;77386;22;0;0;0;0,00;0,00;28,43;0,00;
INFLA;1084;Hovedstaden;07-14;M;81243;25;4;1;0;0,16;4,92;30,77;1,23;
INFLA;1084;Hovedstaden;15-44;Alle;806914;318;10;2;0;0,03;1,24;39,41;0,25;
INFLA;1084;Hovedstaden;15-44;K;404832;196;6;1;0;0,03;1,48;48,42;0,25;
INFLA;1084;Hovedstaden;15-44;M;402082;122;4;1;0;0,03;0,99;30,34;0,25;
INFLA;1084;Hovedstaden;45-64;Alle;478291;251;4;0;0;0,02;0,84;52,48;0,00;
INFLA;1084;Hovedstaden;45-64;K;241383;144;2;0;0;0,01;0,83;59,66;0,00;
INFLA;1084;Hovedstaden;45-64;M;236908;107;2;0;0;0,02;0,84;45,17;0,00;
INFLA;1084;Hovedstaden;65-74;Alle;167649;188;4;2;0;0,02;2,39;112,14;1,19;
INFLA;1084;Hovedstaden;65-74;K;88044;102;3;1;0;0,03;3,41;115,85;1,14;
INFLA;1084;Hovedstaden;65-74;M;79605;86;1;1;0;0,01;1,26;108,03;1,26;
INFLA;1084;Hovedstaden;75-84;Alle;132611;216;4;2;0;0,02;3,02;162,88;1,51;
INFLA;1084;Hovedstaden;75-84;K;74264;105;2;1;0;0,02;2,69;141,39;1,35;
INFLA;1084;Hovedstaden;75-84;M;58347;111;2;1;0;0,02;3,43;190,24;1,71;
INFLA;1084;Hovedstaden;85+;Alle;41817;108;2;0;0;0,02;4,78;258,27;0,00;
INFLA;1084;Hovedstaden;85+;K;27065;50;0;0;0;0,00;0,00;184,74;0,00;
INFLA;1084;Hovedstaden;85+;M;14752;58;2;0;0;0,03;13,56;393,17;0,00;
INFLA;1084;Hovedstaden;Alle;Alle;1930137;1258;31;8;0;0,02;1,61;65,18;0,41;
INFLA;1084;Hovedstaden;Alle;K;983074;669;13;3;0;0,02;1,32;68,05;0,31;
INFLA;1084;Hovedstaden;Alle;M;947063;589;18;5;0;0,03;1,90;62,19;0,53;
INFLA;1082;Midtjylland;00-01;Alle;27525;8;1;0;0;0,13;3,63;29,06;0,00;
INFLA;1082;Midtjylland;00-01;K;13382;4;0;0;0;0,00;0,00;29,89;0,00;
INFLA;1082;Midtjylland;00-01;M;14143;4;1;0;0;0,25;7,07;28,28;0,00;
INFLA;1082;Midtjylland;02-06;Alle;74167;4;0;0;0;0,00;0,00;5,39;0,00;
INFLA;1082;Midtjylland;02-06;K;35993;1;0;0;0;0,00;0,00;2,78;0,00;
INFLA;1082;Midtjylland;02-06;M;38174;3;0;0;0;0,00;0,00;7,86;0,00;
INFLA;1082;Midtjylland;07-14;Alle;117879;5;0;0;0;0,00;0,00;4,24;0,00;
INFLA;1082;Midtjylland;07-14;K;57471;1;0;0;0;0,00;0,00;1,74;0,00;
INFLA;1082;Midtjylland;07-14;M;60408;4;0;0;0;0,00;0,00;6,62;0,00;
INFLA;1082;Midtjylland;15-44;Alle;524550;24;1;0;0;0,04;0,19;4,58;0,00;
INFLA;1082;Midtjylland;15-44;K;257777;10;0;0;0;0,00;0,00;3,88;0,00;
INFLA;1082;Midtjylland;15-44;M;266773;14;1;0;0;0,07;0,37;5,25;0,00;
INFLA;1082;Midtjylland;45-64;Alle;345261;35;3;0;0;0,09;0,87;10,14;0,00;
INFLA;1082;Midtjylland;45-64;K;173110;20;2;0;0;0,10;1,16;11,55;0,00;
INFLA;1082;Midtjylland;45-64;M;172151;15;1;0;0;0,07;0,58;8,71;0,00;
INFLA;1082;Midtjylland;65-74;Alle;143844;23;1;0;0;0,04;0,70;15,99;0,00;
INFLA;1082;Midtjylland;65-74;K;73596;8;1;0;0;0,13;1,36;10,87;0,00;
INFLA;1082;Midtjylland;65-74;M;70248;15;0;0;0;0,00;0,00;21,35;0,00;
INFLA;1082;Midtjylland;75-84;Alle;107117;20;1;1;1;0,05;0,93;18,67;0,93;
INFLA;1082;Midtjylland;75-84;K;56978;7;0;0;0;0,00;0,00;12,29;0,00;
INFLA;1082;Midtjylland;75-84;M;50139;13;1;1;1;0,08;1,99;25,93;1,99;
INFLA;1082;Midtjylland;85+;Alle;33182;12;1;0;0;0,08;3,01;36,16;0,00;
INFLA;1082;Midtjylland;85+;K;20312;7;0;0;0;0,00;0,00;34,46;0,00;
INFLA;1082;Midtjylland;85+;M;12870;5;1;0;0;0,20;7,77;38,85;0,00;
INFLA;1082;Midtjylland;Alle;Alle;1373525;131;8;1;1;0,06;0,58;9,54;0,07;
