"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"timestamp_2026-05-05T11:40:02.065"
;;;53;0;
;;0-9;714;5;
1084;Hovedstaden;0-9;120680;5;
1082;Midtjylland;0-9;80011;2;
1081;Nordjylland;0-9;34504;1;
1085;Sjælland;0-9;45324;0;
1083;Syddanmark;0-9;73610;1;
;;10-19;1351;0;
1084;Hovedstaden;10-19;165682;1;
1082;Midtjylland;10-19;126090;0;
1081;Nordjylland;10-19;54493;4;
1085;Sjælland;10-19;76142;0;
1083;Syddanmark;10-19;111714;0;
;;20-29;4004;4;
1084;Hovedstaden;20-29;198395;10;
1082;Midtjylland;20-29;121342;1;
1081;Nordjylland;20-29;52008;2;
1085;Sjælland;20-29;53360;2;
1083;Syddanmark;20-29;91081;11;
;;30-39;4385;3;
1084;Hovedstaden;30-39;185972;14;
1082;Midtjylland;30-39;110466;6;
1081;Nordjylland;30-39;46479;3;
1085;Sjælland;30-39;62329;6;
1083;Syddanmark;30-39;93786;7;
;;40-49;3728;7;
1084;Hovedstaden;40-49;172024;32;
1082;Midtjylland;40-49;109942;17;
1081;Nordjylland;40-49;46981;7;
1085;Sjælland;40-49;71144;21;
1083;Syddanmark;40-49;97879;19;
;;50-59;2637;8;
1084;Hovedstaden;50-59;141009;115;
1082;Midtjylland;50-59;98460;43;
1081;Nordjylland;50-59;45534;28;
1085;Sjælland;50-59;69701;68;
1083;Syddanmark;50-59;94169;59;
;;60-69;1127;10;
1084;Hovedstaden;60-69;83817;359;
1082;Midtjylland;60-69;68332;125;
1081;Nordjylland;60-69;33865;116;
1085;Sjælland;60-69;45688;181;
1083;Syddanmark;60-69;65449;186;
;;70-79;456;7;
1084;Hovedstaden;70-79;54887;1071;
1082;Midtjylland;70-79;43554;399;
1081;Nordjylland;70-79;23245;316;
1085;Sjælland;70-79;31426;512;
1083;Syddanmark;70-79;43927;515;
;;80-89;161;14;
1084;Hovedstaden;80-89;23441;1567;
1082;Midtjylland;80-89;15041;623;
1081;Nordjylland;80-89;8994;419;
1085;Sjælland;80-89;11595;669;
1083;Syddanmark;80-89;17164;819;
;;90+;49;4;
1084;Hovedstaden;90+;6186;901;
1082;Midtjylland;90+;3253;350;
1081;Nordjylland;90+;1905;252;
1085;Sjælland;90+;2384;349;
1083;Syddanmark;90+;3663;441;
