"Regionskode";"Region";"Dato";"Døde";"Kummuleret antal døde";"timestamp_2026-03-17T10:00:04.992"
;;2020-02-26;0;0;
;;2020-02-27;0;0;
;;2020-02-28;0;0;
;;2020-03-01;0;0;
;;2020-03-02;0;0;
;;2020-03-03;0;0;
;;2020-03-04;0;0;
;;2020-03-05;0;0;
;;2020-03-06;0;0;
;;2020-03-07;0;0;
;;2020-03-08;0;0;
;;2020-03-09;0;0;
;;2020-03-10;0;0;
;;2020-03-11;0;0;
;;2020-03-12;0;0;
;;2020-03-13;0;0;
1084;Hovedstaden;2020-03-14;1;1;
1084;Hovedstaden;2020-03-15;1;2;
1082;Midtjylland;2020-03-15;1;3;
1084;Hovedstaden;2020-03-16;1;4;
1084;Hovedstaden;2020-03-17;1;5;
1085;Sjælland;2020-03-18;1;6;
1084;Hovedstaden;2020-03-18;2;8;
1084;Hovedstaden;2020-03-19;3;11;
1082;Midtjylland;2020-03-19;2;13;
1084;Hovedstaden;2020-03-20;2;15;
1083;Syddanmark;2020-03-20;1;16;
1085;Sjælland;2020-03-20;1;17;
1084;Hovedstaden;2020-03-21;3;20;
1082;Midtjylland;2020-03-22;1;21;
1084;Hovedstaden;2020-03-22;2;23;
1082;Midtjylland;2020-03-23;1;24;
1085;Sjælland;2020-03-23;1;25;
1084;Hovedstaden;2020-03-23;4;29;
1084;Hovedstaden;2020-03-24;1;30;
1085;Sjælland;2020-03-24;4;34;
1081;Nordjylland;2020-03-24;1;35;
1085;Sjælland;2020-03-25;2;37;
1083;Syddanmark;2020-03-25;1;38;
1084;Hovedstaden;2020-03-25;2;40;
1082;Midtjylland;2020-03-25;1;41;
1084;Hovedstaden;2020-03-26;6;47;
1085;Sjælland;2020-03-26;3;50;
1083;Syddanmark;2020-03-26;1;51;
1084;Hovedstaden;2020-03-27;7;58;
1085;Sjælland;2020-03-27;2;60;
1081;Nordjylland;2020-03-27;1;61;
1083;Syddanmark;2020-03-27;2;63;
1081;Nordjylland;2020-03-28;1;64;
1085;Sjælland;2020-03-28;1;65;
1084;Hovedstaden;2020-03-28;4;69;
1083;Syddanmark;2020-03-28;1;70;
1082;Midtjylland;2020-03-28;2;72;
1083;Syddanmark;2020-03-29;3;75;
1081;Nordjylland;2020-03-29;1;76;
1084;Hovedstaden;2020-03-29;2;78;
1082;Midtjylland;2020-03-29;2;80;
1085;Sjælland;2020-03-30;4;84;
1082;Midtjylland;2020-03-30;1;85;
1084;Hovedstaden;2020-03-30;6;91;
1083;Syddanmark;2020-03-31;1;92;
1085;Sjælland;2020-03-31;3;95;
1082;Midtjylland;2020-03-31;1;96;
1084;Hovedstaden;2020-03-31;8;104;
1081;Nordjylland;2020-03-31;2;106;
1083;Syddanmark;2020-04-01;1;107;
1082;Midtjylland;2020-04-01;2;109;
1084;Hovedstaden;2020-04-01;13;122;
1081;Nordjylland;2020-04-01;1;123;
1085;Sjælland;2020-04-01;5;128;
1085;Sjælland;2020-04-02;4;132;
1082;Midtjylland;2020-04-02;4;136;
1081;Nordjylland;2020-04-02;1;137;
1084;Hovedstaden;2020-04-02;9;146;
1084;Hovedstaden;2020-04-03;14;160;
1083;Syddanmark;2020-04-03;1;161;
1085;Sjælland;2020-04-03;4;165;
1082;Midtjylland;2020-04-03;1;166;
1085;Sjælland;2020-04-04;2;168;
1084;Hovedstaden;2020-04-04;7;175;
1081;Nordjylland;2020-04-04;1;176;
1082;Midtjylland;2020-04-04;5;181;
1085;Sjælland;2020-04-05;2;183;
