"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte";"Dato";"timestamp_2025-07-01T10:00:04.462"
1084;Hovedstaden;0-9;4;0;0;2025-07-01;
1085;Sjælland;10-19;1;0;1;2025-07-01;
1084;Hovedstaden;20-29;3;0;1;2025-07-01;
1082;Midtjylland;20-29;1;0;0;2025-07-01;
1085;Sjælland;20-29;2;0;1;2025-07-01;
1083;Syddanmark;20-29;1;0;0;2025-07-01;
1084;Hovedstaden;40-49;2;0;0;2025-07-01;
1082;Midtjylland;40-49;1;0;0;2025-07-01;
1081;Nordjylland;40-49;1;0;0;2025-07-01;
1084;Hovedstaden;50-59;1;0;0;2025-07-01;
1085;Sjælland;50-59;1;0;0;2025-07-01;
;;60-69;1;0;1;2025-07-01;
1084;Hovedstaden;60-69;7;0;0;2025-07-01;
1085;Sjælland;60-69;1;0;0;2025-07-01;
1083;Syddanmark;60-69;1;0;0;2025-07-01;
;;70-79;1;0;0;2025-07-01;
1084;Hovedstaden;70-79;7;0;2;2025-07-01;
1081;Nordjylland;70-79;2;0;1;2025-07-01;
1083;Syddanmark;70-79;4;0;1;2025-07-01;
1084;Hovedstaden;80-89;6;0;3;2025-07-01;
1082;Midtjylland;80-89;1;0;0;2025-07-01;
1081;Nordjylland;80-89;1;0;1;2025-07-01;
1085;Sjælland;80-89;3;0;1;2025-07-01;
1083;Syddanmark;80-89;2;0;0;2025-07-01;
