"Regionskode";"Region";"Aldersgruppe";"Indlæggelser";"timestamp_2025-09-09T10:00:07.822"
;;.;0;
;;00-02;6;
1084;Hovedstaden;00-02;968;
1082;Midtjylland;00-02;418;
1081;Nordjylland;00-02;289;
1085;Sjælland;00-02;360;
1083;Syddanmark;00-02;348;
;;03-05;1;
1084;Hovedstaden;03-05;97;
1082;Midtjylland;03-05;67;
1081;Nordjylland;03-05;41;
1085;Sjælland;03-05;44;
1083;Syddanmark;03-05;56;
;;06-11;1;
1084;Hovedstaden;06-11;154;
1082;Midtjylland;06-11;85;
1081;Nordjylland;06-11;44;
1085;Sjælland;06-11;48;
1083;Syddanmark;06-11;70;
;;12-15;0;
1084;Hovedstaden;12-15;158;
1082;Midtjylland;12-15;83;
1081;Nordjylland;12-15;49;
1085;Sjælland;12-15;67;
1083;Syddanmark;12-15;88;
;;16-19;4;
1084;Hovedstaden;16-19;261;
1082;Midtjylland;16-19;113;
1081;Nordjylland;16-19;69;
1085;Sjælland;16-19;107;
1083;Syddanmark;16-19;120;
;;20-39;68;
1084;Hovedstaden;20-39;3142;
1082;Midtjylland;20-39;1564;
1081;Nordjylland;20-39;726;
1085;Sjælland;20-39;1213;
1083;Syddanmark;20-39;1455;
;;40-64;136;
1084;Hovedstaden;40-64;6082;
1082;Midtjylland;40-64;3069;
1081;Nordjylland;40-64;1594;
1085;Sjælland;40-64;2953;
1083;Syddanmark;40-64;3259;
;;65-79;45;
1084;Hovedstaden;65-79;8640;
1082;Midtjylland;65-79;4193;
1081;Nordjylland;65-79;2666;
1085;Sjælland;65-79;4606;
1083;Syddanmark;65-79;5078;
;;80+;15;
1084;Hovedstaden;80+;8500;
1082;Midtjylland;80+;3519;
1081;Nordjylland;80+;2380;
1085;Sjælland;80+;4036;
1083;Syddanmark;80+;4802;
