"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte";"Dato";"timestamp_2025-09-16T10:00:06.429"
;;.;53;0;2025-09-16;
;;00-02;201;6;2025-09-16;
1084;Hovedstaden;00-02;21545;969;2025-09-16;
1082;Midtjylland;00-02;12262;419;2025-09-16;
1081;Nordjylland;00-02;5530;293;2025-09-16;
1085;Sjælland;00-02;7390;361;2025-09-16;
1083;Syddanmark;00-02;12700;348;2025-09-16;
;;03-05;181;1;2025-09-16;
1084;Hovedstaden;03-05;37161;97;2025-09-16;
1082;Midtjylland;03-05;25166;67;2025-09-16;
1081;Nordjylland;03-05;10657;42;2025-09-16;
1085;Sjælland;03-05;13756;44;2025-09-16;
1083;Syddanmark;03-05;22972;56;2025-09-16;
;;06-11;500;1;2025-09-16;
1084;Hovedstaden;06-11;96676;154;2025-09-16;
1082;Midtjylland;06-11;67226;85;2025-09-16;
1081;Nordjylland;06-11;28639;44;2025-09-16;
1085;Sjælland;06-11;38514;48;2025-09-16;
1083;Syddanmark;06-11;59582;70;2025-09-16;
;;12-15;318;0;2025-09-16;
1084;Hovedstaden;12-15;66660;158;2025-09-16;
1082;Midtjylland;12-15;50813;83;2025-09-16;
1081;Nordjylland;12-15;21891;49;2025-09-16;
1085;Sjælland;12-15;30716;67;2025-09-16;
1083;Syddanmark;12-15;45744;88;2025-09-16;
;;16-19;568;4;2025-09-16;
1084;Hovedstaden;16-19;63944;261;2025-09-16;
1082;Midtjylland;16-19;50609;113;2025-09-16;
1081;Nordjylland;16-19;22251;69;2025-09-16;
1085;Sjælland;16-19;31018;107;2025-09-16;
1083;Syddanmark;16-19;44321;120;2025-09-16;
;;20-39;8189;68;2025-09-16;
1084;Hovedstaden;20-39;384056;3143;2025-09-16;
1082;Midtjylland;20-39;231804;1565;2025-09-16;
1081;Nordjylland;20-39;98488;726;2025-09-16;
1085;Sjælland;20-39;115611;1213;2025-09-16;
1083;Syddanmark;20-39;184836;1455;2025-09-16;
;;40-64;6952;135;2025-09-16;
1084;Hovedstaden;40-64;361392;6085;2025-09-16;
1082;Midtjylland;40-64;246602;3069;2025-09-16;
1081;Nordjylland;40-64;111672;1596;2025-09-16;
1085;Sjælland;40-64;166512;2955;2025-09-16;
1083;Syddanmark;40-64;228426;3262;2025-09-16;
;;65-79;861;45;2025-09-16;
1084;Hovedstaden;65-79;89347;8646;2025-09-16;
1082;Midtjylland;65-79;73522;4200;2025-09-16;
1081;Nordjylland;65-79;37784;2673;2025-09-16;
1085;Sjælland;65-79;51174;4608;2025-09-16;
1083;Syddanmark;65-79;72684;5089;2025-09-16;
;;80+;203;15;2025-09-16;
1084;Hovedstaden;80+;29170;8512;2025-09-16;
1082;Midtjylland;80+;18212;3522;2025-09-16;
1081;Nordjylland;80+;10805;2386;2025-09-16;
1085;Sjælland;80+;13798;4039;2025-09-16;
1083;Syddanmark;80+;20626;4812;2025-09-16;
