"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte";"Dato";"timestamp_2025-06-03T13:45:37.929"
1084;Hovedstaden;00-02;3;0;2025-06-03;
1081;Nordjylland;00-02;1;1;2025-06-03;
1085;Sjælland;00-02;1;0;2025-06-03;
1084;Hovedstaden;06-11;1;0;2025-06-03;
1084;Hovedstaden;16-19;1;0;2025-06-03;
1084;Hovedstaden;20-39;5;0;2025-06-03;
1082;Midtjylland;20-39;1;0;2025-06-03;
1083;Syddanmark;20-39;1;1;2025-06-03;
1084;Hovedstaden;40-64;7;0;2025-06-03;
1082;Midtjylland;40-64;2;0;2025-06-03;
1084;Hovedstaden;65-79;3;0;2025-06-03;
1082;Midtjylland;65-79;1;0;2025-06-03;
1081;Nordjylland;65-79;1;0;2025-06-03;
1085;Sjælland;65-79;3;1;2025-06-03;
1083;Syddanmark;65-79;4;0;2025-06-03;
1084;Hovedstaden;80+;7;3;2025-06-03;
1082;Midtjylland;80+;1;0;2025-06-03;
1085;Sjælland;80+;1;0;2025-06-03;
1083;Syddanmark;80+;1;1;2025-06-03;
