"År";"Uge";"Bekræftede tilfælde beboere";"Dødsfald blandt bekræftede beboere";"Plejehjem med bekræftede tilfælde";"Antal tests blandt beboere";"Plejehjem med testede beboere";"timestamp_2026-08-11T11:40:01.801"
2020;11;7;0;6;119;108;
2020;12;23;3;15;253;190;
2020;13;68;15;31;433;250;
2020;14;144;35;43;1133;358;
2020;15;87;37;35;710;342;
2020;16;77;29;34;910;338;
2020;17;81;26;35;2321;459;
2020;18;38;25;23;2481;491;
2020;19;20;20;15;3097;488;
2020;20;11;9;9;2510;477;
2020;21;7;3;4;1608;483;
2020;22;10;4;3;1531;433;
2020;23;3;4;2;1255;453;
2020;24;17;1;4;1058;440;
2020;25;7;1;5;1877;492;
2020;26;2;2;2;1900;506;
2020;27;5;1;4;1708;512;
2020;28;2;2;2;1524;484;
2020;29;5;0;2;1190;503;
2020;30;3;1;3;1248;488;
2020;31;0;0;0;1582;506;
2020;32;1;2;1;1622;542;
2020;33;0;1;0;1472;553;
2020;34;1;0;1;1335;546;
2020;35;0;0;0;1301;496;
2020;36;3;0;3;1327;535;
2020;37;15;0;8;2156;567;
2020;38;19;5;8;2940;572;
2020;39;22;3;10;3171;561;
2020;40;12;5;6;3019;568;
2020;41;13;3;11;2596;543;
2020;42;13;7;7;2653;524;
2020;43;29;7;12;3524;558;
2020;44;30;2;18;4586;570;
2020;45;32;8;19;5442;577;
2020;46;51;8;19;5685;568;
2020;47;86;10;31;6898;600;
2020;48;98;11;25;6375;591;
2020;49;119;21;37;7333;642;
2020;50;218;22;59;7743;610;
2020;51;319;49;105;10149;662;
2020;52;407;62;116;10130;625;
2020;53;474;88;130;11224;621;
2021;1;471;81;127;11918;644;
2021;2;361;109;102;11923;627;
2021;3;162;81;74;10262;661;
2021;4;85;57;54;8354;610;
2021;5;47;39;22;7195;596;
2021;6;16;23;10;5552;574;
2021;7;6;7;6;4135;563;
2021;8;12;2;7;3452;536;
2021;9;9;0;7;3106;565;
2021;10;4;2;4;3151;574;
2021;11;7;0;7;3024;569;
2021;12;7;2;7;2656;567;
2021;13;4;0;4;1730;492;
2021;14;14;1;8;1772;512;
2021;15;21;3;10;2841;557;
2021;16;19;3;11;2862;529;
2021;17;9;3;7;2567;530;
2021;18;9;0;6;2742;545;
2021;19;6;1;6;2125;462;
2021;20;2;1;2;2207;433;
2021;21;2;0;2;1511;381;
2021;22;15;0;3;1619;345;
2021;23;7;0;5;1514;323;
2021;24;3;1;2;1102;269;
2021;25;0;0;0;780;247;
2021;26;1;0;1;1127;233;
2021;27;6;0;3;1350;245;
2021;28;7;1;6;1968;278;
2021;29;8;0;6;2214;250;
2021;30;11;3;7;2424;265;
2021;31;9;3;5;2580;269;
2021;32;16;2;8;3103;283;
2021;33;19;0;12;2775;287;
2021;34;33;3;16;3266;300;
2021;35;40;1;17;3960;311;
2021;36;46;12;18;4379;361;
2021;37;25;6;13;2897;298;
2021;38;15;6;8;2899;298;
2021;39;3;7;3;2759;298;
2021;40;16;1;8;2587;282;
2021;41;4;4;4;3206;324;
2021;42;16;1;8;4290;404;
2021;43;16;3;12;5527;466;
2021;44;29;4;22;7113;497;
2021;45;26;4;21;7303;529;
2021;46;54;3;30;7889;563;
2021;47;31;9;23;8568;601;
2021;48;58;7;32;9067;601;
2021;49;91;6;48;10247;648;
2021;50;145;8;65;12301;692;
2021;51;199;11;94;14797;703;
2021;52;647;13;220;21485;754;
2022;1;683;40;215;25064;786;
2022;2;661;39;208;23765;785;
2022;3;876;47;263;26724;805;
2022;4;1263;54;344;28041;799;
2022;5;1748;63;446;29714;850;
2022;6;2153;99;530;30513;872;
2022;7;2425;111;566;27342;856;
2022;8;2136;146;529;22627;832;
2022;9;1819;127;491;19030;819;
2022;10;1388;120;399;16094;752;
2022;11;1044;97;318;13166;692;
2022;12;699;73;262;10385;652;
2022;13;490;54;175;8235;556;
2022;14;394;42;138;6860;519;
2022;15;331;35;127;5470;473;
2022;16;288;21;102;5014;488;
2022;17;182;22;74;3989;418;
2022;18;100;22;54;2774;377;
2022;19;55;7;33;2063;340;
2022;20;52;9;30;1603;333;
2022;21;49;6;25;1382;300;
2022;22;37;4;19;1075;273;
2022;23;50;7;21;927;260;
2022;24;56;5;33;1722;321;
2022;25;104;7;47;2336;324;
2022;26;104;6;55;4108;349;
2022;27;114;12;64;3983;374;
2022;28;263;5;107;5898;404;
2022;29;232;10;87;6208;403;
2022;30;142;14;76;6173;365;
2022;31;187;19;73;5154;375;
2022;32;131;18;68;4249;354;
2022;33;123;11;74;5104;402;
2022;34;83;18;45;4047;363;
2022;35;53;11;34;3174;316;
2022;36;102;8;50;3429;352;
2022;37;119;11;52;4029;349;
2022;38;186;14;64;3506;338;
2022;39;224;10;83;5013;390;
2022;40;181;18;75;5341;395;
2022;41;135;7;72;5539;393;
2022;42;131;21;66;5126;410;
2022;43;120;8;58;4279;436;
2022;44;81;9;37;3860;381;
2022;45;72;9;29;3630;357;
2022;46;54;8;37;3000;353;
2022;47;155;8;48;3715;366;
2022;48;216;7;85;5489;409;
2022;49;270;11;100;6611;403;
2022;50;448;17;133;7297;414;
2022;51;685;31;196;9508;470;
2022;52;472;31;181;9000;485;
2023;1;344;36;136;8591;485;
2023;2;196;22;82;5204;418;
2023;3;83;19;43;2940;298;
2023;4;79;19;35;2104;262;
2023;5;83;6;29;1887;242;
2023;6;63;5;41;1575;255;
2023;7;48;6;19;603;202;
2023;8;14;6;12;320;187;
2023;9;16;11;16;245;176;
2023;10;39;5;20;303;188;
2023;11;30;4;26;256;203;
2023;12;52;2;38;281;201;
2023;13;35;8;32;253;193;
2023;14;45;5;38;250;189;
2023;15;50;12;43;242;187;
2023;16;46;9;43;241;178;
2023;17;48;6;45;199;162;
2023;18;22;10;20;173;145;
2023;19;38;8;34;211;167;
2023;20;24;8;22;163;135;
2023;21;12;6;12;165;132;
2023;22;9;6;9;152;133;
2023;23;12;4;10;160;135;
2023;24;7;1;7;131;108;
2023;25;6;2;6;135;109;
2023;26;1;1;1;118;103;
2023;27;2;0;2;97;86;
2023;28;2;0;2;88;75;
2023;29;1;0;1;75;64;
2023;30;3;1;3;87;81;
2023;31;3;1;2;96;85;
2023;32;5;1;5;70;64;
2023;33;12;1;12;120;105;
2023;34;8;1;8;108;97;
2023;35;17;1;15;130;104;
2023;36;12;3;12;136;120;
2023;37;15;4;14;129;110;
2023;38;8;3;8;140;117;
2023;39;7;1;7;123;115;
2023;40;16;2;15;136;120;
2023;41;16;3;13;143;127;
2023;42;29;1;26;173;144;
2023;43;50;8;44;186;148;
2023;44;61;8;45;225;171;
2023;45;46;11;36;221;161;
2023;46;35;13;32;201;163;
2023;47;55;16;51;240;179;
2023;48;53;14;50;209;177;
2023;49;59;10;53;259;198;
