"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Timestamp"
;;;53;0;2025-02-18T10:07:01.684
;;0-9;681;3;2025-02-18T10:07:01.684
1084;Hovedstaden;0-9;120144;4;2025-02-18T10:07:01.684
1082;Midtjylland;0-9;79934;2;2025-02-18T10:07:01.684
1081;Nordjylland;0-9;34428;1;2025-02-18T10:07:01.684
1085;Sjælland;0-9;45205;0;2025-02-18T10:07:01.684
1083;Syddanmark;0-9;73553;1;2025-02-18T10:07:01.684
;;10-19;1038;0;2025-02-18T10:07:01.684
1084;Hovedstaden;10-19;165610;1;2025-02-18T10:07:01.684
1082;Midtjylland;10-19;126134;0;2025-02-18T10:07:01.684
1081;Nordjylland;10-19;54521;4;2025-02-18T10:07:01.684
1085;Sjælland;10-19;76154;0;2025-02-18T10:07:01.684
1083;Syddanmark;10-19;111748;0;2025-02-18T10:07:01.684
;;20-29;3802;4;2025-02-18T10:07:01.684
1084;Hovedstaden;20-29;198238;9;2025-02-18T10:07:01.684
1082;Midtjylland;20-29;121347;1;2025-02-18T10:07:01.684
1081;Nordjylland;20-29;52008;2;2025-02-18T10:07:01.684
1085;Sjælland;20-29;53330;2;2025-02-18T10:07:01.684
1083;Syddanmark;20-29;91066;11;2025-02-18T10:07:01.684
;;30-39;4274;3;2025-02-18T10:07:01.684
1084;Hovedstaden;30-39;185623;13;2025-02-18T10:07:01.684
1082;Midtjylland;30-39;110433;6;2025-02-18T10:07:01.684
1081;Nordjylland;30-39;46467;3;2025-02-18T10:07:01.684
1085;Sjælland;30-39;62258;5;2025-02-18T10:07:01.684
1083;Syddanmark;30-39;93738;5;2025-02-18T10:07:01.684
;;40-49;3648;7;2025-02-18T10:07:01.684
1084;Hovedstaden;40-49;171768;31;2025-02-18T10:07:01.684
1082;Midtjylland;40-49;109907;16;2025-02-18T10:07:01.684
1081;Nordjylland;40-49;46965;6;2025-02-18T10:07:01.684
1085;Sjælland;40-49;71097;21;2025-02-18T10:07:01.684
1083;Syddanmark;40-49;97842;19;2025-02-18T10:07:01.684
;;50-59;2577;8;2025-02-18T10:07:01.684
1084;Hovedstaden;50-59;140643;112;2025-02-18T10:07:01.684
1082;Midtjylland;50-59;98411;43;2025-02-18T10:07:01.684
1081;Nordjylland;50-59;45482;28;2025-02-18T10:07:01.684
1085;Sjælland;50-59;69602;66;2025-02-18T10:07:01.684
1083;Syddanmark;50-59;94078;59;2025-02-18T10:07:01.684
;;60-69;1097;10;2025-02-18T10:07:01.684
1084;Hovedstaden;60-69;83371;344;2025-02-18T10:07:01.684
1082;Midtjylland;60-69;68260;123;2025-02-18T10:07:01.684
1081;Nordjylland;60-69;33780;108;2025-02-18T10:07:01.684
1085;Sjælland;60-69;45576;172;2025-02-18T10:07:01.684
1083;Syddanmark;60-69;65311;175;2025-02-18T10:07:01.684
;;70-79;437;7;2025-02-18T10:07:01.684
1084;Hovedstaden;70-79;54317;1022;2025-02-18T10:07:01.684
1082;Midtjylland;70-79;43444;392;2025-02-18T10:07:01.684
1081;Nordjylland;70-79;23115;299;2025-02-18T10:07:01.684
1085;Sjælland;70-79;31234;494;2025-02-18T10:07:01.684
1083;Syddanmark;70-79;43662;497;2025-02-18T10:07:01.684
;;80-89;150;11;2025-02-18T10:07:01.684
1084;Hovedstaden;80-89;22878;1493;2025-02-18T10:07:01.684
1082;Midtjylland;80-89;14943;613;2025-02-18T10:07:01.684
1081;Nordjylland;80-89;8867;401;2025-02-18T10:07:01.684
1085;Sjælland;80-89;11377;640;2025-02-18T10:07:01.684
1083;Syddanmark;80-89;16923;795;2025-02-18T10:07:01.684
;;90+;47;4;2025-02-18T10:07:01.684
1084;Hovedstaden;90+;6027;871;2025-02-18T10:07:01.684
1082;Midtjylland;90+;3235;347;2025-02-18T10:07:01.684
1081;Nordjylland;90+;1878;245;2025-02-18T10:07:01.684
1085;Sjælland;90+;2334;337;2025-02-18T10:07:01.684
1083;Syddanmark;90+;3593;425;2025-02-18T10:07:01.684
