"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte";"Dato";"Timestamp"
1084;Hovedstaden;0-9;14;0;1;2025-02-18;2025-02-18T10:07:34.083
1081;Nordjylland;0-9;6;0;0;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;0-9;2;0;1;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;0-9;2;0;1;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;10-19;4;0;1;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;20-29;3;0;0;2025-02-18;2025-02-18T10:07:34.083
1082;Midtjylland;20-29;2;0;1;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;30-39;6;0;0;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;30-39;1;0;0;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;40-49;6;0;0;2025-02-18;2025-02-18T10:07:34.083
1082;Midtjylland;40-49;1;0;0;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;40-49;2;0;0;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;40-49;2;0;1;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;50-59;4;0;0;2025-02-18;2025-02-18T10:07:34.083
1082;Midtjylland;50-59;1;0;1;2025-02-18;2025-02-18T10:07:34.083
1081;Nordjylland;50-59;1;0;0;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;50-59;3;0;1;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;50-59;4;0;2;2025-02-18;2025-02-18T10:07:34.083
;;60-69;1;0;0;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;60-69;7;0;1;2025-02-18;2025-02-18T10:07:34.083
1082;Midtjylland;60-69;2;0;1;2025-02-18;2025-02-18T10:07:34.083
1081;Nordjylland;60-69;4;1;2;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;60-69;3;0;1;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;60-69;7;0;4;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;70-79;13;0;4;2025-02-18;2025-02-18T10:07:34.083
1082;Midtjylland;70-79;1;0;0;2025-02-18;2025-02-18T10:07:34.083
1081;Nordjylland;70-79;2;0;1;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;70-79;9;0;3;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;70-79;5;0;3;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;80-89;8;0;3;2025-02-18;2025-02-18T10:07:34.083
1082;Midtjylland;80-89;3;0;2;2025-02-18;2025-02-18T10:07:34.083
1081;Nordjylland;80-89;3;0;1;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;80-89;3;0;1;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;80-89;10;0;6;2025-02-18;2025-02-18T10:07:34.083
1084;Hovedstaden;90+;1;0;1;2025-02-18;2025-02-18T10:07:34.083
1085;Sjælland;90+;1;0;0;2025-02-18;2025-02-18T10:07:34.083
1083;Syddanmark;90+;1;0;0;2025-02-18;2025-02-18T10:07:34.083
