"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Timestamp"
;;.;53;2025-02-18T10:07:05.518
;;00-02;198;2025-02-18T10:07:05.518
1084;Hovedstaden;00-02;21408;2025-02-18T10:07:05.518
1082;Midtjylland;00-02;12252;2025-02-18T10:07:05.518
1081;Nordjylland;00-02;5513;2025-02-18T10:07:05.518
1085;Sjælland;00-02;7361;2025-02-18T10:07:05.518
1083;Syddanmark;00-02;12691;2025-02-18T10:07:05.518
;;03-05;178;2025-02-18T10:07:05.518
1084;Hovedstaden;03-05;37152;2025-02-18T10:07:05.518
1082;Midtjylland;03-05;25165;2025-02-18T10:07:05.518
1081;Nordjylland;03-05;10654;2025-02-18T10:07:05.518
1085;Sjælland;03-05;13756;2025-02-18T10:07:05.518
1083;Syddanmark;03-05;22971;2025-02-18T10:07:05.518
;;06-11;499;2025-02-18T10:07:05.518
1084;Hovedstaden;06-11;96649;2025-02-18T10:07:05.518
1082;Midtjylland;06-11;67224;2025-02-18T10:07:05.518
1081;Nordjylland;06-11;28638;2025-02-18T10:07:05.518
1085;Sjælland;06-11;38511;2025-02-18T10:07:05.518
1083;Syddanmark;06-11;59578;2025-02-18T10:07:05.518
;;12-15;310;2025-02-18T10:07:05.518
1084;Hovedstaden;12-15;66638;2025-02-18T10:07:05.518
1082;Midtjylland;12-15;50811;2025-02-18T10:07:05.518
1081;Nordjylland;12-15;21893;2025-02-18T10:07:05.518
1085;Sjælland;12-15;30716;2025-02-18T10:07:05.518
1083;Syddanmark;12-15;45740;2025-02-18T10:07:05.518
;;16-19;534;2025-02-18T10:07:05.518
1084;Hovedstaden;16-19;63907;2025-02-18T10:07:05.518
1082;Midtjylland;16-19;50616;2025-02-18T10:07:05.518
1081;Nordjylland;16-19;22251;2025-02-18T10:07:05.518
1085;Sjælland;16-19;31015;2025-02-18T10:07:05.518
1083;Syddanmark;16-19;44321;2025-02-18T10:07:05.518
;;20-39;8076;2025-02-18T10:07:05.518
1084;Hovedstaden;20-39;383861;2025-02-18T10:07:05.518
1082;Midtjylland;20-39;231780;2025-02-18T10:07:05.518
1081;Nordjylland;20-39;98475;2025-02-18T10:07:05.518
1085;Sjælland;20-39;115588;2025-02-18T10:07:05.518
1083;Syddanmark;20-39;184804;2025-02-18T10:07:05.518
;;40-64;6910;2025-02-18T10:07:05.518
1084;Hovedstaden;40-64;361045;2025-02-18T10:07:05.518
1082;Midtjylland;40-64;246561;2025-02-18T10:07:05.518
1081;Nordjylland;40-64;111630;2025-02-18T10:07:05.518
1085;Sjælland;40-64;166430;2025-02-18T10:07:05.518
1083;Syddanmark;40-64;228344;2025-02-18T10:07:05.518
;;65-79;849;2025-02-18T10:07:05.518
1084;Hovedstaden;65-79;89054;2025-02-18T10:07:05.518
1082;Midtjylland;65-79;73461;2025-02-18T10:07:05.518
1081;Nordjylland;65-79;37712;2025-02-18T10:07:05.518
1085;Sjælland;65-79;51079;2025-02-18T10:07:05.518
1083;Syddanmark;65-79;72549;2025-02-18T10:07:05.518
;;80+;197;2025-02-18T10:07:05.518
1084;Hovedstaden;80+;28905;2025-02-18T10:07:05.518
1082;Midtjylland;80+;18178;2025-02-18T10:07:05.518
1081;Nordjylland;80+;10745;2025-02-18T10:07:05.518
1085;Sjælland;80+;13711;2025-02-18T10:07:05.518
1083;Syddanmark;80+;20516;2025-02-18T10:07:05.518
