"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte";"Dato";"Timestamp"
;;.;53;0;2025-02-18;2025-02-18T10:07:38.746
;;00-02;198;6;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;00-02;21408;929;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;00-02;12252;413;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;00-02;5513;282;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;00-02;7361;348;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;00-02;12691;343;2025-02-18;2025-02-18T10:07:38.746
;;03-05;178;1;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;03-05;37152;96;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;03-05;25165;67;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;03-05;10654;40;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;03-05;13756;44;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;03-05;22971;57;2025-02-18;2025-02-18T10:07:38.746
;;06-11;499;1;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;06-11;96649;151;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;06-11;67224;84;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;06-11;28638;44;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;06-11;38511;48;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;06-11;59578;70;2025-02-18;2025-02-18T10:07:38.746
;;12-15;310;0;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;12-15;66638;156;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;12-15;50811;81;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;12-15;21893;49;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;12-15;30716;67;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;12-15;45740;86;2025-02-18;2025-02-18T10:07:38.746
;;16-19;534;4;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;16-19;63907;256;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;16-19;50616;113;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;16-19;22251;69;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;16-19;31015;105;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;16-19;44321;119;2025-02-18;2025-02-18T10:07:38.746
;;20-39;8076;64;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;20-39;383861;3113;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;20-39;231780;1557;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;20-39;98475;716;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;20-39;115588;1206;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;20-39;184804;1444;2025-02-18;2025-02-18T10:07:38.746
;;40-64;6910;128;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;40-64;361045;6017;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;40-64;246561;3057;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;40-64;111630;1569;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;40-64;166430;2913;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;40-64;228344;3218;2025-02-18;2025-02-18T10:07:38.746
;;65-79;849;42;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;65-79;89054;8496;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;65-79;73461;4162;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;65-79;37712;2616;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;65-79;51079;4541;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;65-79;72549;4984;2025-02-18;2025-02-18T10:07:38.746
;;80+;197;15;2025-02-18;2025-02-18T10:07:38.746
1084;Hovedstaden;80+;28905;8324;2025-02-18;2025-02-18T10:07:38.746
1082;Midtjylland;80+;18178;3490;2025-02-18;2025-02-18T10:07:38.746
1081;Nordjylland;80+;10745;2335;2025-02-18;2025-02-18T10:07:38.746
1085;Sjælland;80+;13711;3964;2025-02-18;2025-02-18T10:07:38.746
1083;Syddanmark;80+;20516;4717;2025-02-18;2025-02-18T10:07:38.746
