"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte";"Dato";"Timestamp"
1084;Hovedstaden;00-02;9;1;2025-02-18;2025-02-18T10:07:40.977
1081;Nordjylland;00-02;6;0;2025-02-18;2025-02-18T10:07:40.977
1085;Sjælland;00-02;2;1;2025-02-18;2025-02-18T10:07:40.977
1083;Syddanmark;00-02;1;1;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;03-05;3;0;2025-02-18;2025-02-18T10:07:40.977
1083;Syddanmark;03-05;1;0;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;06-11;3;1;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;16-19;3;0;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;20-39;9;0;2025-02-18;2025-02-18T10:07:40.977
1082;Midtjylland;20-39;2;1;2025-02-18;2025-02-18T10:07:40.977
1083;Syddanmark;20-39;1;0;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;40-64;14;0;2025-02-18;2025-02-18T10:07:40.977
1082;Midtjylland;40-64;2;1;2025-02-18;2025-02-18T10:07:40.977
1081;Nordjylland;40-64;4;2;2025-02-18;2025-02-18T10:07:40.977
1085;Sjælland;40-64;6;1;2025-02-18;2025-02-18T10:07:40.977
1083;Syddanmark;40-64;7;3;2025-02-18;2025-02-18T10:07:40.977
;;65-79;1;0;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;65-79;16;5;2025-02-18;2025-02-18T10:07:40.977
1082;Midtjylland;65-79;3;1;2025-02-18;2025-02-18T10:07:40.977
1081;Nordjylland;65-79;3;1;2025-02-18;2025-02-18T10:07:40.977
1085;Sjælland;65-79;11;4;2025-02-18;2025-02-18T10:07:40.977
1083;Syddanmark;65-79;11;7;2025-02-18;2025-02-18T10:07:40.977
1084;Hovedstaden;80+;9;4;2025-02-18;2025-02-18T10:07:40.977
1082;Midtjylland;80+;3;2;2025-02-18;2025-02-18T10:07:40.977
1081;Nordjylland;80+;3;1;2025-02-18;2025-02-18T10:07:40.977
1085;Sjælland;80+;4;1;2025-02-18;2025-02-18T10:07:40.977
1083;Syddanmark;80+;11;6;2025-02-18;2025-02-18T10:07:40.977
