"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte";"Dato";"Timestamp"
;;;53;0;0;2025-02-18;2025-02-18T10:07:31.937
;;0-9;681;3;7;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;0-9;120144;4;1122;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;0-9;79934;2;536;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;0-9;34428;1;351;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;0-9;45205;0;417;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;0-9;73553;1;442;2025-02-18;2025-02-18T10:07:31.937
;;10-19;1038;0;5;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;10-19;165610;1;466;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;10-19;126134;0;222;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;10-19;54521;4;133;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;10-19;76154;0;195;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;10-19;111748;0;233;2025-02-18;2025-02-18T10:07:31.937
;;20-29;3802;4;23;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;20-29;198238;9;1331;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;20-29;121347;1;698;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;20-29;52008;2;329;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;20-29;53330;2;525;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;20-29;91066;11;678;2025-02-18;2025-02-18T10:07:31.937
;;30-39;4274;3;41;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;30-39;185623;13;1782;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;30-39;110433;6;859;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;30-39;46467;3;387;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;30-39;62258;5;681;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;30-39;93738;5;766;2025-02-18;2025-02-18T10:07:31.937
;;40-49;3648;7;47;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;40-49;171768;31;1711;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;40-49;109907;16;873;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;40-49;46965;6;383;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;40-49;71097;21;791;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;40-49;97842;19;831;2025-02-18;2025-02-18T10:07:31.937
;;50-59;2577;8;58;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;50-59;140643;112;2643;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;50-59;98411;43;1344;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;50-59;45482;28;661;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;50-59;69602;66;1274;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;50-59;94078;59;1457;2025-02-18;2025-02-18T10:07:31.937
;;60-69;1097;10;45;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;60-69;83371;344;3601;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;60-69;68260;123;1863;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;60-69;33780;108;1150;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;60-69;45576;172;1900;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;60-69;65311;175;2146;2025-02-18;2025-02-18T10:07:31.937
;;70-79;437;7;20;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;70-79;54317;1022;6558;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;70-79;43444;392;3139;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;70-79;23115;299;1991;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;70-79;31234;494;3489;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;70-79;43662;497;3768;2025-02-18;2025-02-18T10:07:31.937
;;80-89;150;11;15;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;80-89;22878;1493;6394;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;80-89;14943;613;2756;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;80-89;8867;401;1890;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;80-89;11377;640;3117;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;80-89;16923;795;3727;2025-02-18;2025-02-18T10:07:31.937
;;90+;47;4;0;2025-02-18;2025-02-18T10:07:31.937
1084;Hovedstaden;90+;6027;871;1930;2025-02-18;2025-02-18T10:07:31.937
1082;Midtjylland;90+;3235;347;734;2025-02-18;2025-02-18T10:07:31.937
1081;Nordjylland;90+;1878;245;445;2025-02-18;2025-02-18T10:07:31.937
1085;Sjælland;90+;2334;337;847;2025-02-18;2025-02-18T10:07:31.937
1083;Syddanmark;90+;3593;425;990;2025-02-18;2025-02-18T10:07:31.937
