"Regionskode";"Region";"Aldersgruppe";"Indlæggelser";"Timestamp"
;;.;0;2025-02-18T10:06:56.910
;;00-02;6;2025-02-18T10:06:56.910
1084;Hovedstaden;00-02;929;2025-02-18T10:06:56.910
1082;Midtjylland;00-02;413;2025-02-18T10:06:56.910
1081;Nordjylland;00-02;282;2025-02-18T10:06:56.910
1085;Sjælland;00-02;348;2025-02-18T10:06:56.910
1083;Syddanmark;00-02;343;2025-02-18T10:06:56.910
;;03-05;1;2025-02-18T10:06:56.910
1084;Hovedstaden;03-05;96;2025-02-18T10:06:56.910
1082;Midtjylland;03-05;67;2025-02-18T10:06:56.910
1081;Nordjylland;03-05;40;2025-02-18T10:06:56.910
1085;Sjælland;03-05;44;2025-02-18T10:06:56.910
1083;Syddanmark;03-05;57;2025-02-18T10:06:56.910
;;06-11;1;2025-02-18T10:06:56.910
1084;Hovedstaden;06-11;151;2025-02-18T10:06:56.910
1082;Midtjylland;06-11;84;2025-02-18T10:06:56.910
1081;Nordjylland;06-11;44;2025-02-18T10:06:56.910
1085;Sjælland;06-11;48;2025-02-18T10:06:56.910
1083;Syddanmark;06-11;70;2025-02-18T10:06:56.910
;;12-15;0;2025-02-18T10:06:56.910
1084;Hovedstaden;12-15;156;2025-02-18T10:06:56.910
1082;Midtjylland;12-15;81;2025-02-18T10:06:56.910
1081;Nordjylland;12-15;49;2025-02-18T10:06:56.910
1085;Sjælland;12-15;67;2025-02-18T10:06:56.910
1083;Syddanmark;12-15;86;2025-02-18T10:06:56.910
;;16-19;4;2025-02-18T10:06:56.910
1084;Hovedstaden;16-19;256;2025-02-18T10:06:56.910
1082;Midtjylland;16-19;113;2025-02-18T10:06:56.910
1081;Nordjylland;16-19;69;2025-02-18T10:06:56.910
1085;Sjælland;16-19;105;2025-02-18T10:06:56.910
1083;Syddanmark;16-19;119;2025-02-18T10:06:56.910
;;20-39;64;2025-02-18T10:06:56.910
1084;Hovedstaden;20-39;3113;2025-02-18T10:06:56.910
1082;Midtjylland;20-39;1557;2025-02-18T10:06:56.910
1081;Nordjylland;20-39;716;2025-02-18T10:06:56.910
1085;Sjælland;20-39;1206;2025-02-18T10:06:56.910
1083;Syddanmark;20-39;1444;2025-02-18T10:06:56.910
;;40-64;128;2025-02-18T10:06:56.910
1084;Hovedstaden;40-64;6017;2025-02-18T10:06:56.910
1082;Midtjylland;40-64;3057;2025-02-18T10:06:56.910
1081;Nordjylland;40-64;1569;2025-02-18T10:06:56.910
1085;Sjælland;40-64;2913;2025-02-18T10:06:56.910
1083;Syddanmark;40-64;3218;2025-02-18T10:06:56.910
;;65-79;42;2025-02-18T10:06:56.910
1084;Hovedstaden;65-79;8496;2025-02-18T10:06:56.910
1082;Midtjylland;65-79;4162;2025-02-18T10:06:56.910
1081;Nordjylland;65-79;2616;2025-02-18T10:06:56.910
1085;Sjælland;65-79;4541;2025-02-18T10:06:56.910
1083;Syddanmark;65-79;4984;2025-02-18T10:06:56.910
;;80+;15;2025-02-18T10:06:56.910
1084;Hovedstaden;80+;8324;2025-02-18T10:06:56.910
1082;Midtjylland;80+;3490;2025-02-18T10:06:56.910
1081;Nordjylland;80+;2335;2025-02-18T10:06:56.910
1085;Sjælland;80+;3964;2025-02-18T10:06:56.910
1083;Syddanmark;80+;4717;2025-02-18T10:06:56.910
